Rk,player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
209,Tosan Evbuomwan,23,BRK,SF,22,0,23.5,3.3,7.6,.431,0.8,2.6,.298,2.5,5.0,.500,.482,1.9,2.5,.745,1.2,2.8,4.0,1.6,0.7,0.3,1.4,1.8,9.2
210,Draymond Green,34,GSW,PF,61,59,29.0,3.2,7.6,.427,1.1,3.6,.315,2.1,3.9,.531,.503,1.6,2.3,.696,1.1,5.1,6.2,5.7,1.5,1.0,2.5,3.2,9.2
211,T.J. McConnell,32,IND,PG,73,0,17.9,4.1,7.9,.519,0.2,0.6,.319,3.9,7.3,.537,.532,0.7,1.0,.746,0.5,1.9,2.5,4.5,1.1,0.2,1.4,1.0,9.2
212,Lonnie Walker IV,26,PHI,SG,14,3,20.9,3.4,8.6,.397,1.6,5.0,.329,1.8,3.6,.490,.492,0.7,0.9,.833,0.3,2.9,3.1,2.4,0.5,0.2,1.1,1.0,9.2
213,Jalen Wilson,24,BRK,PF,75,19,25.5,3.0,7.7,.391,1.4,4.4,.319,1.6,3.3,.486,.482,1.7,2.1,.840,0.9,2.4,3.3,1.8,0.5,0.1,1.0,2.1,9.2
214,Noah Clowney,20,BRK,PF,46,20,22.7,2.9,8.1,.358,1.9,5.7,.333,1.0,2.4,.414,.474,1.5,1.7,.838,0.9,3.0,3.9,0.9,0.5,0.5,1.0,2.3,9.1
215,Dante Exum,29,DAL,PG,18,12,19.1,3.3,6.9,.480,1.2,2.6,.447,2.2,4.3,.500,.564,1.3,1.7,.742,0.2,1.4,1.7,2.8,0.7,0.2,1.1,1.7,9.1
216,Kyle Filipowski,21,UTA,C,67,22,20.6,3.4,6.7,.507,1.1,2.9,.369,2.3,3.8,.612,.587,1.3,2.0,.641,1.4,4.4,5.8,1.9,0.6,0.2,1.4,2.3,9.1
217,Luke Kennard,28,MEM,SG,61,11,22.7,3.3,6.8,.482,1.8,4.1,.440,1.5,2.7,.546,.615,0.8,0.9,.891,0.6,2.1,2.7,3.4,0.8,0.1,1.1,0.9,9.1
218,Dalton Knecht,23,LAL,SF,72,15,19.6,3.3,7.2,.460,1.6,4.4,.371,1.7,2.8,.603,.574,0.8,1.1,.750,0.5,2.4,2.8,0.9,0.3,0.1,0.5,1.3,9.1
219,Cam Whitmore,20,HOU,SF,46,1,16.0,3.4,8.0,.429,1.2,3.6,.333,2.2,4.4,.507,.504,1.1,1.5,.746,0.7,2.3,3.0,1.0,0.6,0.3,0.8,0.9,9.1
220,Wendell Carter Jr.,25,ORL,C,64,47,25.8,3.3,7.2,.458,0.6,2.3,.242,2.7,4.8,.561,.497,1.9,2.6,.741,2.2,5.1,7.3,2.0,0.7,0.6,1.1,3.0,9.0
221,Killian Hayes,23,BRK,PG,6,5,27.0,3.0,7.2,.419,1.3,3.5,.381,1.7,3.7,.455,.512,1.7,2.0,.833,0.8,2.2,3.0,5.2,0.7,0.7,1.5,2.2,9.0
222,Dereck Lively II,20,DAL,C,33,26,23.8,3.8,5.4,.702,0.0,0.0,,3.8,5.4,.702,.702,1.4,2.2,.630,3.0,4.7,7.8,2.6,0.5,1.7,1.2,2.9,9.0
223,Kel'el Ware,20,MIA,C,58,30,21.8,3.9,6.9,.560,0.6,1.7,.317,3.3,5.2,.642,.600,0.7,1.0,.695,1.7,5.4,7.1,0.9,0.6,1.1,0.9,1.7,9.0
224,Marcus Smart,30,2TM,PG,33,6,19.9,2.9,7.6,.388,1.4,4.2,.343,1.5,3.4,.442,.482,1.6,2.1,.754,0.5,1.5,2.1,3.3,1.2,0.3,1.6,1.6,8.9
224,Marcus Smart,30,MEM,PG,19,6,21.1,2.8,7.8,.358,1.5,4.7,.322,1.3,3.1,.414,.456,1.6,1.9,.833,0.7,1.5,2.3,3.7,1.2,0.3,1.8,1.6,8.7
224,Marcus Smart,30,WAS,PG,14,0,18.3,3.1,7.3,.431,1.3,3.4,.383,1.9,3.9,.473,.520,1.6,2.4,.667,0.3,1.6,1.9,2.7,1.1,0.2,1.3,1.6,9.1
225,Clint Capela,30,ATL,C,55,41,21.4,4.0,7.1,.559,0.0,0.0,.000,4.0,7.1,.560,.559,0.9,1.8,.536,3.2,5.4,8.5,1.1,0.6,1.0,0.9,1.9,8.9
226,Al Horford,38,BOS,C,57,40,27.7,3.2,7.6,.422,1.9,5.2,.360,1.3,2.4,.555,.545,0.6,0.7,.895,1.3,4.7,6.1,2.1,0.6,0.9,0.8,1.4,8.9
227,Yves Missi,20,NOP,C,70,64,26.9,3.6,6.6,.540,0.0,0.0,.000,3.6,6.6,.541,.540,1.8,2.8,.634,3.5,4.7,8.2,1.3,0.5,1.4,1.1,2.0,8.9
228,Kentavious Caldwell-Pope,31,ORL,SG,73,73,30.2,3.2,7.2,.436,1.5,4.4,.343,1.7,2.9,.579,.540,1.0,1.2,.860,0.5,1.8,2.2,1.8,1.3,0.5,0.8,1.8,8.8
229,Chris Paul,39,SAS,PG,76,76,28.0,3.0,7.0,.428,1.8,4.6,.383,1.3,2.5,.511,.552,1.0,1.1,.940,0.4,3.2,3.6,7.6,1.3,0.3,1.6,1.8,8.8
230,Patrick Williams,23,CHI,PF,57,35,25.4,3.2,8.2,.386,1.5,4.4,.347,1.7,3.9,.430,.478,1.0,1.4,.718,0.7,3.1,3.8,2.0,0.7,0.5,1.3,1.4,8.8
231,Kelly Olynyk,33,2TM,C,42,20,20.2,3.1,6.1,.506,0.8,1.8,.429,2.3,4.2,.539,.571,1.7,2.2,.777,1.4,3.4,4.8,2.9,0.8,0.4,1.8,2.8,8.7
231,Kelly Olynyk,33,TOR,C,24,2,16.0,2.5,4.9,.500,0.8,1.8,.442,1.7,3.1,.533,.581,1.4,1.8,.791,1.0,2.7,3.7,2.3,0.7,0.3,1.5,2.5,7.1
231,Kelly Olynyk,33,NOP,C,18,18,25.8,3.9,7.6,.511,0.8,1.9,.412,3.1,5.7,.544,.562,2.2,2.8,.765,1.9,4.4,6.3,3.7,0.9,0.5,2.2,3.2,10.7
232,Oshae Brissett,26,PHI,SF,6,2,23.7,3.2,6.5,.487,1.0,3.0,.333,2.2,3.5,.619,.564,1.3,2.3,.571,1.2,2.5,3.7,0.7,0.7,0.5,1.3,2.3,8.7
233,Tyrese Martin,25,BRK,SG,57,10,21.8,3.1,7.6,.406,1.7,4.7,.361,1.4,3.0,.476,.516,0.8,1.0,.786,1.0,2.7,3.7,2.0,0.6,0.1,1.1,1.3,8.7
234,Quinten Post,24,GSW,PF,37,14,16.9,3.2,6.9,.455,1.9,4.6,.414,1.3,2.4,.534,.591,0.5,0.6,.810,0.9,2.8,3.7,1.5,0.4,0.5,0.9,2.1,8.7
235,Dorian Finney-Smith,31,2TM,PF,57,38,28.6,3.1,6.9,.446,2.0,4.9,.405,1.1,2.0,.543,.589,0.5,0.8,.651,1.3,2.7,4.0,1.4,0.9,0.4,0.9,2.2,8.6
235,Dorian Finney-Smith,31,BRK,PF,20,20,29.0,3.7,8.0,.459,2.4,5.4,.435,1.3,2.6,.510,.607,0.8,1.2,.625,1.6,3.0,4.6,1.6,0.9,0.6,0.9,2.7,10.4
235,Dorian Finney-Smith,31,LAL,PF,37,18,28.5,2.8,6.4,.436,1.8,4.6,.386,1.0,1.8,.569,.576,0.4,0.5,.684,1.2,2.6,3.8,1.3,1.0,0.2,0.9,1.9,7.7
236,Kyshawn George,21,WAS,SG,64,34,26.8,3.0,8.0,.368,1.7,5.2,.321,1.3,2.8,.456,.473,1.0,1.4,.761,0.8,3.5,4.3,2.5,1.0,0.8,1.5,3.0,8.6
237,Mike Conley,37,MIN,PG,65,58,25.0,2.7,6.7,.409,1.9,4.4,.422,0.8,2.2,.382,.550,1.2,1.3,.895,0.5,2.1,2.5,4.5,1.2,0.2,1.1,1.6,8.5
238,Jaden Hardy,22,DAL,SG,54,3,15.5,3.1,7.0,.442,1.4,3.4,.403,1.8,3.7,.477,.538,0.9,1.4,.689,0.1,1.3,1.5,1.3,0.5,0.1,1.4,1.6,8.5
239,Larry Nance Jr.,32,ATL,PF,24,3,19.3,3.3,6.5,.516,1.4,3.2,.447,1.9,3.3,.582,.626,0.4,0.5,.692,1.0,3.3,4.3,1.6,0.8,0.5,0.7,1.5,8.5
240,Isaiah Collier,20,UTA,PG,69,44,25.7,3.2,7.6,.424,0.6,2.3,.255,2.6,5.3,.499,.463,1.4,2.1,.671,0.4,2.9,3.3,6.2,0.9,0.2,2.9,2.1,8.4
241,Johnny Juzang,23,UTA,SG,59,13,18.7,3.0,7.0,.431,1.7,4.6,.365,1.3,2.4,.557,.551,0.7,0.8,.837,0.7,2.2,2.8,1.0,0.5,0.1,0.5,1.9,8.4
242,Jaylen Nowell,25,NOP,SG,8,0,21.0,3.3,9.1,.356,1.0,3.4,.296,2.3,5.8,.391,.411,0.9,1.4,.636,0.8,1.8,2.5,2.3,0.1,0.5,1.0,1.1,8.4
243,Cason Wallace,21,OKC,SG,65,43,27.6,3.4,7.2,.475,1.1,3.1,.363,2.3,4.1,.560,.554,0.5,0.6,.833,1.1,2.4,3.4,2.6,1.8,0.5,0.9,2.2,8.4
244,Ja'Kobe Walter,20,TOR,SG,49,15,20.9,3.0,7.4,.401,1.2,3.4,.343,1.8,4.0,.451,.481,1.2,1.6,.779,1.1,1.9,3.0,1.5,0.8,0.2,0.9,1.8,8.4
245,Jared Butler,24,2TM,SG,54,11,16.1,3.1,6.9,.450,0.9,2.5,.358,2.2,4.4,.502,.515,1.2,1.5,.810,0.4,1.4,1.7,3.5,0.6,0.2,1.2,1.6,8.3
245,Jared Butler,24,WAS,PG,32,0,11.3,2.7,5.5,.483,0.5,1.3,.366,2.2,4.2,.519,.526,1.1,1.4,.778,0.4,0.8,1.3,2.6,0.4,0.2,0.9,1.3,6.9
245,Jared Butler,24,PHI,SG,22,11,23.1,3.7,8.9,.421,1.5,4.2,.355,2.2,4.6,.480,.505,1.3,1.5,.853,0.3,2.1,2.4,4.8,0.9,0.2,1.6,2.0,10.3
246,Bruce Brown,28,2TM,PG,38,9,22.2,3.1,7.4,.423,0.7,2.1,.333,2.4,5.3,.458,.470,1.3,1.6,.833,1.0,3.0,4.0,1.9,0.9,0.2,1.0,1.8,8.3
246,Bruce Brown,28,TOR,PG,18,0,19.6,3.2,7.3,.435,0.6,2.0,.306,2.6,5.3,.484,.477,1.4,1.6,.897,0.9,2.8,3.8,1.6,0.9,0.2,1.1,1.4,8.4
246,Bruce Brown,28,NOP,PG,20,9,24.5,3.1,7.5,.413,0.8,2.1,.357,2.4,5.4,.435,.463,1.2,1.6,.774,1.1,3.1,4.2,2.3,0.9,0.3,1.0,2.1,8.2
247,Brandon Clarke,28,MEM,PF,64,18,18.9,3.7,5.9,.621,0.0,0.3,.059,3.7,5.7,.647,.622,1.0,1.4,.701,2.0,3.1,5.1,1.0,0.8,0.6,0.6,2.3,8.3
248,Keon Ellis,25,SAC,SG,74,22,23.7,2.8,5.8,.485,1.7,4.0,.432,1.1,1.9,.599,.632,1.0,1.1,.845,0.7,1.9,2.6,1.5,1.5,0.7,0.9,2.2,8.3
249,Svi Mykhailiuk,27,UTA,SF,33,13,19.2,2.9,7.9,.369,1.8,5.4,.326,1.2,2.5,.463,.481,0.7,0.8,.821,0.5,1.7,2.2,1.8,0.5,0.2,1.4,1.2,8.3
250,Peyton Watson,22,DEN,SF,63,17,24.4,3.0,6.4,.479,0.7,2.0,.362,2.3,4.3,.533,.536,1.4,2.1,.692,0.7,2.7,3.4,1.5,0.7,1.4,0.8,1.8,8.3
251,Brandon Williams,25,DAL,PG,31,2,14.8,2.9,5.7,.511,0.7,1.9,.379,2.2,3.9,.575,.573,1.7,2.0,.857,0.4,1.4,1.7,2.4,0.7,0.1,1.1,0.9,8.3
252,Caleb Martin,29,2TM,SF,40,24,27.8,2.9,6.8,.433,0.9,2.4,.368,2.1,4.4,.469,.498,1.4,2.3,.633,1.2,2.9,4.0,2.1,1.0,0.6,1.2,1.9,8.2
252,Caleb Martin,29,PHI,SF,31,24,30.4,3.3,7.5,.435,1.1,2.8,.379,2.2,4.7,.469,.506,1.5,2.4,.622,1.4,3.0,4.4,2.2,1.1,0.6,1.4,2.0,9.1
252,Caleb Martin,29,DAL,SF,9,0,18.7,1.8,4.2,.421,0.2,0.9,.250,1.6,3.3,.467,.447,1.2,1.8,.688,0.3,2.4,2.8,1.8,0.7,0.3,0.7,1.4,5.0
253,Sam Hauser,27,BOS,PF,65,17,21.4,2.9,6.4,.447,2.3,5.5,.412,0.6,0.9,.661,.624,0.1,0.1,1.000,0.6,2.4,3.1,0.9,0.6,0.2,0.3,1.3,8.2
254,Taurean Prince,30,MIL,SF,74,67,27.0,2.9,6.4,.460,1.9,4.2,.450,1.1,2.2,.479,.607,0.4,0.5,.846,0.4,3.2,3.6,2.0,0.9,0.2,1.1,2.0,8.2
255,Tristan Vukcevic,21,WAS,C,31,1,13.2,3.0,6.3,.480,0.9,2.8,.337,2.1,3.5,.591,.554,1.2,1.6,.755,0.7,2.8,3.5,1.0,0.4,0.6,0.9,1.4,8.2
256,Jusuf Nurkić,30,2TM,C,46,29,20.7,2.9,6.3,.465,0.6,2.0,.304,2.3,4.3,.541,.514,1.7,2.5,.664,1.7,6.2,7.9,2.2,0.8,0.7,1.8,2.5,8.1
256,Jusuf Nurkić,30,PHO,C,25,23,23.7,3.0,6.5,.454,0.8,2.4,.322,2.2,4.2,.529,.512,1.9,2.8,.696,1.8,7.3,9.2,1.9,0.9,0.6,2.3,3.1,8.6
256,Jusuf Nurkić,30,CHO,C,21,6,17.0,2.9,6.0,.480,0.4,1.6,.273,2.4,4.4,.554,.516,1.4,2.2,.617,1.4,5.0,6.4,2.5,0.6,0.7,1.3,1.8,7.5
257,Matas Buzelis,20,CHI,SF,74,25,18.2,3.0,6.7,.444,1.1,3.2,.346,1.9,3.5,.535,.527,1.1,1.3,.839,0.6,2.6,3.3,0.9,0.3,0.9,0.8,1.6,8.1
258,Jaime Jaquez Jr.,23,MIA,SF,63,16,20.6,3.0,6.7,.446,0.5,1.7,.308,2.5,5.0,.492,.485,1.6,2.1,.756,1.3,3.0,4.3,2.4,0.9,0.2,1.5,1.2,8.1
259,A.J. Lawson,24,TOR,SG,20,2,17.1,2.8,7.0,.400,1.3,4.0,.329,1.5,3.1,.492,.493,1.2,1.8,.639,0.7,2.5,3.2,0.9,0.3,0.2,0.4,1.6,8.1
260,Jalen Smith,24,CHI,C,61,1,14.9,3.0,6.3,.469,1.1,3.5,.327,1.8,2.8,.647,.560,1.1,1.3,.817,1.4,4.1,5.5,1.0,0.3,0.7,0.6,1.5,8.1
261,Tyson Etienne,25,BRK,PG,1,0,10.0,3.0,7.0,.429,2.0,5.0,.400,1.0,2.0,.500,.571,0.0,0.0,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,8.0
262,Daeqwon Plowden,26,ATL,SG,3,0,11.3,2.7,3.3,.800,2.0,2.7,.750,0.7,0.7,1.000,1.100,0.7,0.7,1.000,1.0,0.7,1.7,0.0,0.0,0.0,0.3,1.7,8.0
263,Day'Ron Sharpe,23,BRK,C,50,2,18.1,3.3,6.3,.521,0.2,0.9,.244,3.1,5.4,.566,.538,1.1,1.5,.757,3.0,3.6,6.6,1.8,0.8,0.8,1.3,2.3,7.9
264,Jalen Hood-Schifino,21,2TM,SG,10,0,19.4,2.6,6.2,.419,1.0,3.1,.323,1.6,3.1,.516,.500,1.6,1.9,.842,0.2,1.2,1.4,2.2,0.4,0.7,1.4,1.4,7.8
264,Jalen Hood-Schifino,21,LAL,SG,2,0,7.0,0.5,0.5,1.000,0.0,0.0,,0.5,0.5,1.000,1.000,1.0,1.0,1.000,0.5,0.0,0.5,0.5,0.0,0.5,0.5,1.5,2.0
264,Jalen Hood-Schifino,21,PHI,SG,8,0,22.5,3.1,7.6,.410,1.3,3.9,.323,1.9,3.8,.500,.492,1.8,2.1,.824,0.1,1.5,1.6,2.6,0.5,0.8,1.6,1.4,9.3
265,Damion Baugh,24,CHO,SG,12,2,25.3,3.0,9.1,.330,0.8,3.8,.222,2.2,5.3,.406,.376,0.9,1.1,.846,0.8,2.2,3.0,3.8,1.2,0.1,1.9,1.7,7.8
266,Justin Champagnie,23,WAS,SF,56,25,20.2,3.0,6.0,.494,1.1,2.9,.369,1.9,3.2,.607,.581,0.8,1.2,.692,1.6,3.6,5.3,1.0,1.0,0.6,0.8,1.7,7.8
267,GG Jackson II,20,MEM,PF,25,2,16.2,2.8,7.0,.392,1.2,3.6,.337,1.6,3.5,.448,.477,1.1,1.5,.737,1.0,2.3,3.2,1.0,0.4,0.2,1.1,1.1,7.8
268,Lonzo Ball,27,CHI,PG,35,14,22.2,2.5,6.9,.366,1.9,5.6,.344,0.6,1.4,.458,.504,0.6,0.8,.815,0.7,2.7,3.4,3.3,1.3,0.5,1.2,1.6,7.6
269,Davion Mitchell,26,2TM,PG,68,36,27.0,2.9,6.2,.463,1.1,2.8,.401,1.7,3.4,.515,.555,0.7,1.0,.667,0.5,1.7,2.2,4.8,0.9,0.2,1.8,2.5,7.5
269,Davion Mitchell,26,TOR,PG,44,22,24.5,2.4,5.5,.434,1.0,2.7,.359,1.5,2.9,.504,.520,0.6,0.8,.676,0.4,1.6,1.9,4.6,0.7,0.2,1.8,2.6,6.3
269,Davion Mitchell,26,MIA,PG,24,14,31.6,3.7,7.4,.503,1.5,3.1,.467,2.3,4.3,.529,.602,0.9,1.3,.656,0.7,2.0,2.6,5.0,1.3,0.3,1.7,2.3,9.8
270,Terance Mann,28,2TM,SG,61,12,20.7,2.9,6.0,.490,0.9,2.4,.374,2.0,3.6,.569,.566,0.7,1.0,.689,1.0,1.9,2.9,1.8,0.7,0.2,0.7,1.9,7.5
270,Terance Mann,28,LAC,SG,37,12,19.8,2.4,5.3,.446,0.7,2.0,.347,1.6,3.2,.508,.513,0.6,0.9,.719,0.9,2.0,2.9,1.6,0.8,0.3,0.7,1.8,6.0
270,Terance Mann,28,ATL,SG,24,0,22.1,3.8,7.1,.541,1.2,3.0,.403,2.6,4.1,.643,.626,0.8,1.2,.655,1.1,1.8,2.9,2.1,0.6,0.2,0.8,2.0,9.7
271,Dalano Banton,25,POR,PG,61,1,15.0,2.6,6.6,.403,1.0,2.9,.354,1.6,3.7,.440,.480,1.2,1.7,.718,0.4,1.5,1.9,2.2,0.7,0.5,1.1,0.8,7.5
272,KJ Simpson,22,CHO,PG,30,9,22.1,2.7,7.9,.338,0.9,3.5,.250,1.8,4.4,.406,.392,1.3,1.6,.830,1.1,1.8,3.0,2.9,0.8,0.2,1.5,1.6,7.5
273,Ricky Council IV,23,PHI,SF,67,11,16.9,2.5,6.4,.393,0.8,2.9,.267,1.7,3.5,.500,.454,1.6,2.0,.801,0.6,2.2,2.8,1.3,0.5,0.2,0.6,1.0,7.4
274,A.J. Green,25,MIL,SG,66,6,22.7,2.5,5.9,.423,2.1,5.0,.414,0.4,0.8,.473,.601,0.3,0.4,.833,0.2,2.0,2.3,1.5,0.5,0.1,0.6,2.2,7.4
275,Josh Green,24,CHO,SG,68,67,27.8,2.6,6.2,.428,1.4,3.6,.391,1.2,2.5,.480,.543,0.7,1.1,.681,0.8,1.7,2.5,1.6,1.1,0.2,1.0,2.4,7.4
276,Richaun Holmes,31,WAS,PF,31,7,17.2,2.9,4.5,.647,0.0,0.1,.000,2.9,4.4,.662,.647,1.6,1.9,.833,2.0,3.7,5.7,1.4,0.3,0.7,0.7,1.6,7.4
277,Garrison Mathews,28,ATL,SG,46,2,17.2,2.1,5.4,.395,1.8,4.6,.389,0.3,0.8,.432,.560,1.4,1.7,.818,0.3,1.5,1.8,1.3,0.6,0.3,0.6,1.7,7.4
278,Andre Drummond,31,PHI,C,40,23,18.8,2.9,5.9,.500,0.1,0.5,.150,2.9,5.4,.533,.506,1.4,2.3,.622,2.7,5.0,7.8,0.9,1.0,0.5,1.4,2.4,7.3
279,Tre Jones,25,2TM,PG,46,9,19.7,2.8,5.2,.538,0.4,1.0,.396,2.4,4.1,.574,.578,1.2,1.5,.821,0.7,1.8,2.5,4.2,0.8,0.2,0.8,1.2,7.2
279,Tre Jones,25,SAS,PG,28,0,16.1,1.6,3.3,.484,0.3,0.9,.308,1.3,2.4,.552,.527,0.9,1.2,.758,0.5,1.5,2.1,3.7,0.6,0.2,0.8,1.2,4.4
279,Tre Jones,25,CHI,PG,18,9,25.3,4.6,8.1,.572,0.6,1.2,.500,4.0,6.8,.585,.610,1.7,1.9,.882,0.9,2.3,3.2,4.9,1.1,0.3,0.8,1.2,11.5
280,Jared Rhoden,25,2TM,SG,11,2,14.8,2.5,5.7,.429,0.8,2.6,.310,1.6,3.1,.529,.500,1.5,1.7,.842,1.0,1.7,2.7,0.8,0.6,0.2,0.6,1.2,7.2
280,Jared Rhoden,25,CHO,SG,4,0,3.0,0.5,2.0,.250,0.0,0.5,.000,0.5,1.5,.333,.250,0.0,0.0,,0.5,0.5,1.0,0.5,0.3,0.0,0.3,0.3,1.0
280,Jared Rhoden,25,TOR,SG,7,2,21.6,3.6,7.9,.455,1.3,3.9,.333,2.3,4.0,.571,.536,2.3,2.7,.842,1.3,2.4,3.7,1.0,0.9,0.3,0.9,1.7,10.7
281,Cody Martin,29,2TM,SF,48,8,23.3,2.8,6.5,.424,0.9,3.1,.293,1.9,3.4,.543,.494,0.8,1.2,.684,1.1,3.4,4.4,2.1,1.1,0.6,1.0,1.9,7.2
281,Cody Martin,29,CHO,SF,39,8,24.8,3.0,6.9,.433,1.0,3.2,.323,1.9,3.7,.528,.507,0.9,1.3,.694,1.0,3.5,4.5,2.3,1.1,0.7,1.1,1.8,7.8
281,Cody Martin,29,PHO,SF,9,0,16.8,1.8,4.8,.372,0.3,2.6,.130,1.4,2.2,.650,.407,0.6,0.9,.625,1.2,2.8,4.0,1.3,1.3,0.3,0.7,2.1,4.4
282,Goga Bitadze,25,ORL,C,66,41,20.6,3.0,4.8,.619,0.0,0.4,.120,2.9,4.4,.662,.624,1.2,1.9,.634,2.4,4.3,6.7,1.9,0.7,1.4,1.0,2.2,7.2
283,Bol Bol,25,PHO,PF,34,10,13.0,2.8,5.4,.525,0.9,2.7,.344,1.9,2.6,.711,.612,0.6,0.8,.769,0.6,2.5,3.0,0.6,0.3,0.7,0.6,0.6,7.2
284,Keion Brooks Jr.,24,NOP,SF,8,1,18.0,2.9,5.5,.523,0.8,2.1,.353,2.1,3.4,.630,.591,0.6,1.0,.625,0.6,2.4,3.0,1.0,0.5,0.8,0.8,1.9,7.1
285,Vit Krejci,24,ATL,PG,51,16,20.4,2.5,5.3,.474,1.5,3.7,.418,0.9,1.5,.608,.621,0.5,0.8,.675,0.3,2.3,2.7,2.6,0.6,0.5,0.9,1.9,7.1
286,Sam Merrill,28,CLE,SG,67,3,19.6,2.4,6.0,.403,1.9,5.1,.365,0.5,0.8,.636,.560,0.4,0.4,.966,0.6,1.7,2.2,1.5,0.7,0.2,0.5,1.7,7.1
287,AJ Johnson,20,2TM,SG,23,6,18.9,2.6,6.2,.415,0.8,2.7,.295,1.8,3.5,.506,.479,1.0,1.3,.828,0.3,1.7,2.0,2.5,0.4,0.1,1.1,1.1,7.0
287,AJ Johnson,20,MIL,SG,7,0,6.3,1.1,2.7,.421,0.4,0.7,.600,0.7,2.0,.357,.500,0.1,0.3,.500,0.0,1.0,1.0,1.0,0.1,0.0,0.6,0.0,2.9
287,AJ Johnson,20,WAS,SG,16,6,24.4,3.2,7.7,.415,0.9,3.5,.268,2.3,4.2,.537,.476,1.4,1.7,.852,0.4,2.0,2.4,3.2,0.6,0.1,1.4,1.6,8.8
288,Tristan Da Silva,23,ORL,SF,71,36,21.8,2.6,6.4,.412,1.1,3.2,.330,1.6,3.2,.496,.496,0.7,0.9,.869,1.0,2.3,3.3,1.5,0.4,0.2,0.7,1.3,7.0
289,Marcus Garrett,26,CHO,SG,4,0,19.8,2.8,6.8,.407,0.8,2.0,.375,2.0,4.8,.421,.463,0.8,1.0,.750,0.3,1.3,1.5,3.3,0.8,0.5,1.5,2.5,7.0
290,Jaxson Hayes,24,LAL,C,50,29,19.8,2.9,4.0,.731,0.0,0.1,.000,2.9,4.0,.742,.731,1.1,1.7,.663,1.4,3.4,4.7,1.1,0.5,0.9,0.8,2.4,7.0
291,Isaiah Jackson,23,IND,C,5,1,16.8,2.8,4.6,.609,0.0,0.0,,2.8,4.6,.609,.609,1.4,2.8,.500,2.2,3.4,5.6,1.0,0.6,1.6,1.0,2.8,7.0
292,Karlo Matković,23,NOP,PF,38,6,18.3,2.9,5.1,.567,0.4,1.3,.314,2.5,3.8,.657,.608,0.8,1.1,.775,1.6,3.2,4.8,1.1,0.5,1.0,1.0,2.6,7.0
293,Cameron Payne,30,NYK,PG,66,4,14.9,2.5,6.1,.408,1.3,3.6,.366,1.2,2.5,.470,.516,0.7,0.7,.896,0.2,1.3,1.5,2.7,0.5,0.2,0.7,1.5,7.0
294,Jake LaRavia,23,2TM,PF,66,0,20.4,2.4,5.1,.475,0.9,2.2,.423,1.5,3.0,.513,.564,1.2,1.7,.678,1.4,2.6,3.9,2.4,0.9,0.3,1.3,2.0,6.9
294,Jake LaRavia,23,MEM,PF,47,0,20.9,2.5,5.1,.490,0.9,1.9,.444,1.7,3.2,.517,.573,1.4,2.0,.698,1.4,2.9,4.4,2.8,0.9,0.4,1.5,2.0,7.3
294,Jake LaRavia,23,SAC,PF,19,0,19.3,2.2,5.1,.438,1.1,2.7,.385,1.2,2.3,.500,.542,0.6,1.0,.579,1.2,1.6,2.8,1.3,0.9,0.2,0.9,2.1,6.1
295,Alex Caruso,30,OKC,SG,50,2,19.2,2.5,5.7,.447,1.1,3.2,.354,1.4,2.5,.563,.546,0.7,0.9,.814,0.7,2.2,2.9,2.6,1.6,0.6,0.7,1.8,6.9
296,Jay Huff,26,MEM,C,60,2,11.8,2.5,4.8,.514,1.3,3.2,.411,1.2,1.6,.719,.650,0.7,0.9,.778,0.5,1.6,2.1,0.6,0.2,0.8,0.5,1.3,6.9
297,Chuma Okeke,26,PHI,PF,7,3,24.4,2.6,4.7,.545,1.4,3.1,.455,1.1,1.6,.727,.697,0.3,0.4,.667,2.9,3.3,6.1,1.9,0.7,0.4,0.4,0.7,6.9
298,Jamal Shead,22,TOR,PG,70,7,18.8,2.6,6.4,.412,0.9,2.9,.325,1.7,3.6,.482,.484,0.6,0.8,.763,0.4,1.1,1.5,4.0,0.7,0.1,1.5,2.0,6.9
299,Alec Burks,33,MIA,SG,44,9,17.3,2.2,5.1,.427,1.7,3.9,.427,0.5,1.2,.426,.589,0.8,1.0,.761,0.3,2.2,2.5,1.1,0.6,0.2,0.5,0.7,6.8
300,Eric Gordon,36,PHI,SG,39,13,19.7,2.2,5.2,.426,1.4,3.5,.409,0.8,1.7,.463,.564,0.9,1.2,.750,0.2,1.0,1.2,1.7,0.7,0.3,0.7,0.8,6.8
301,Trayce Jackson-Davis,24,GSW,C,57,37,16.5,2.9,5.2,.571,0.0,0.0,.000,2.9,5.1,.575,.571,0.9,1.7,.568,2.1,3.2,5.2,1.8,0.4,0.7,0.7,1.2,6.8
302,Josh Okogie,26,2TM,SG,35,3,15.4,2.3,5.1,.458,0.7,2.0,.371,1.6,3.1,.514,.531,1.3,1.7,.746,1.2,1.7,2.9,0.7,1.3,0.4,0.7,1.2,6.7
302,Josh Okogie,26,PHO,SG,25,1,14.0,2.2,4.6,.491,0.6,1.7,.381,1.6,2.9,.556,.561,0.9,1.3,.688,1.3,1.6,2.9,0.6,0.8,0.4,0.6,1.1,6.0
